x1,y1,z1,x2,y2,z2,x3,y3,z3
10.164463,-7.0174074,1.1400293,10.602752,16.899258,5.4175344,10.485396,-0.5556446,-1.0322535
11.405084,-6.6844997,2.7782228,2.2632935,0.1460962,3.547024,4.136199,1.2621753,-4.5792775
14.988033,-4.4499464,2.8141482,-12.559483,-3.891907,-6.229446,2.6297317,3.903882,-7.2185893
10.31535,-5.767207,0.84544194,-14.197677,-5.2977834,-4.2008643,2.8380983,4.670288,-4.9385304
11.438614,-6.3779373,1.961521,18.281185,-0.9029224,-10.054293,2.1507277,4.9073954,-5.1732426
9.683064,-6.6677346,1.9112257,15.31136,16.674128,11.172767,4.3493557,2.2585034,-6.327642
5.5732107,3.6907253,7.3479204,4.145779,4.6918435,7.0988383,5.2834134,4.9145803,7.5035963
5.8127127,3.4057178,7.1467385,5.1732426,4.5625124,7.0174074,3.6763551,4.3637257,8.667576
7.7311234,2.7686427,9.604029,5.630691,4.7708793,6.5216384,5.242698,4.471502,0.9867481
8.875943,4.869075,8.468789,6.1480155,4.993616,5.350474,9.366921,2.2058132,5.1636624
2.7159522,2.6704469,0.52690434,9.529783,4.0356083,-1.4178516,4.718189,0.6945557,1.6429834
-1.9711012,1.3555812,-0.6514453,9.448353,3.7290456,-1.6813037,7.575447,-0.37601808,-3.6092947
6.090535,-2.6512868,-0.51732427,8.076006,3.1494508,-1.6190332,6.444998,-5.0367265,-8.011341
17.926722,-3.2236965,6.8425713,8.837623,4.126619,-1.0370435,9.513018,-7.2353544,-10.4566555
18.559008,0.4167334,9.237591,18.853594,10.35367,1.6789087,11.120076,-7.577842,-7.2593045
14.640755,3.0368848,2.672842,20.570824,1.5256275,1.3819263,17.05733,-7.7359133,-0.7065308
15.632293,0.9651929,2.5387208,-10.545272,-16.671732,-4.0427933,6.2031007,-2.9338992,0.47900394
10.7943535,-2.8333082,2.4525,-14.432388,-19.600842,-0.32332766,4.1002736,1.3843213,-4.8307548
3.68354,-4.0044727,0.5843848,44.97847,29.703033,18.008152,4.0859036,3.4368532,-8.796907
1.8154249,-3.2692018,-0.96758795,11.179952,-0.25147706,-4.232,0.23710695,0.7759864,-7.9227247
4.402046,-4.984036,-0.8669971,-33.805702,-21.23185,-4.2248144,5.8031325,-6.945557,-8.064031
10.3872,-8.966953,-0.28979737,12.20023,-5.6905665,-7.7454934,15.162869,-7.580237,-9.484278
17.471668,-6.1959157,2.5027955,23.74662,23.164629,24.716602,12.894786,-7.434141,-8.686736
11.232642,-6.191126,3.3554225,-6.543194,-10.123748,-2.5123756,13.562996,-6.0737696,-8.626861
12.700789,-5.6666164,0.33769777,-22.728737,-15.8694,-3.3458424,18.144669,-4.8451247,0.038320314
11.706856,-6.318062,1.2382251,53.868782,32.579453,-13.888719,7.199429,-2.9841945,0.39278322
11.558365,-7.683223,1.3867164,8.147857,3.4703834,-11.247012,1.1400293,1.3196558,-7.5059915
6.5144534,-7.1371584,1.1232642,-29.961695,-19.263144,-6.809041,0.46463382,3.159031,-9.845925
6.3803325,-7.230564,1.1328443,8.590936,-1.5399976,-0.62510014,-0.364043,-0.086220704,-8.485555
1.8465601,-3.8416114,-0.2203418,32.88841,30.277838,29.037218,8.756192,-6.7970657,-7.180269
7.89638,-6.6461797,0.12933107,-4.8451247,-9.908196,-3.0009596,10.494976,-5.592371,-7.2281694
11.678116,-6.9719024,1.2502003,-19.162552,-14.8108015,-9.2184305,9.982442,-5.599556,-10.360855
12.818145,-6.0402393,0.086220704,52.338364,36.40909,-21.26059,9.297466,-4.5481424,-10.942844
14.997613,-5.3025737,-1.4465919,9.956097,5.0989966,-9.754915,18.23089,-4.9217653,-6.6557593
14.446758,-6.1863356,-0.7161109,-20.920496,-16.149618,-2.5578809,11.908037,-3.7601807,0.3544629
11.649376,-7.585027,0.30177248,7.5179667,-7.443721,-1.7986598,2.459685,-0.59156984,-6.013894
6.68929,-7.1323686,0.8214917,32.418987,30.308973,22.858067,2.9626393,3.278782,-9.105865
3.5973196,-5.144502,-0.059875492,-1.3220508,-3.5254688,-5.7648125,2.8692336,3.271597,-7.168294
0.9867481,-3.7338357,-0.87897223,-30.816717,-12.154725,-12.193045,2.2249732,-2.2608986,-5.0654664
4.543352,-5.007986,-1.22146,21.725224,15.893351,-5.8270826,13.893509,-7.800579,-10.1189575
8.277188,-7.326365,1.2693604,11.8074465,13.548626,5.1876125,9.189691,-5.4175344,-8.677156
12.442127,-7.1132083,1.2717555,-9.704619,-9.402847,0.91010743,10.971585,-5.7719975,-12.116405
13.709092,-6.06419,-0.34727785,-7.7167535,-9.292676,-6.7324004,14.54256,-5.4127445,-8.514295
